"id","title","year","date_published","duration","country","worlwide_gross_income","languages","production_company"
"tt10145122","Das perfekte Geheimnis","2019","2019-10-31","111","Germany","$ 19301303","German","Constantin Film"
"tt10147382","Wo he wo de zu guo","2019","2019-09-30","154","China","$ 420105485","Mandarin, Cantonese, English","Alibaba Pictures"
"tt10151260","Welad Rizk 2","2019","2019-08-08","103","Egypt","$ 1086632","Arabic, English","RAW Entertainment"
"tt10152214","Heer Maan Ja","2019","2019-08-12","146","Pakistan","","Urdu, Punjabi","Geo Films"
"tt10155342","La femme de mon frère","2019","2019-06-26","117","Canada","$ 1671969","French","Metafilms"
"tt10156112","Hello, Love, Goodbye","2019","2019-07-31","118","Philippines","$ 1089515","Chinese, Tagalog, Filipino","Star Cinema"
"tt10161238","Geol kapseu","2019","2019-05-09","107","South Korea","$ 12147170","Korean","Film Momentum"
"tt10182822","Loro","2018","2018-10-18","151","Italy","$ 35613","Italian",""
"tt10183616","Yves","2019","2019-06-26","107","France","$ 375950","French","Ecce Films"
"tt10187686","Thamaasha","2019","2019-06-05","120","India","$ 218812","Malayalam","Happy Hours Entertainment"
"tt10187766","Dog Town","2019","2019-06-11","72","USA","","English",""
"tt10195210","Yin he bu xi ban","2019","2019-07-18","147","China","$ 122994583","Mandarin","Tianjin Chengzi Yingxiang Media"
"tt10196142","Rahman 1400","2019","2019-03-16","111","Iran","","Persian",""
"tt10199586","Atlantique","2019","2019-10-02","104","France, Senegal, Belgium","$ 344938","Wolof, French, English","Cinekap"
